,10%,median,mean,90%
structural [B CHF],0.1585410619519681,3.3535896275306953,5.21075538196772,12.710250081077035
contents [B CHF],0.018971683418917765,0.3853917135216476,0.6143884704116709,1.495466190823998
fatalities,0.0394059575771235,5.631593399752752,54.610862466309094,144.7172728122546
injuries,8.343114727330308,228.54084659869685,602.5011480016602,1475.8538890146135
displaced,279.03944359149665,11590.66408917226,20917.884589231417,54504.166706543045
